semente,braco,fold,po_kpa,teor_de_fibra,comp_de_fibra,R2_q,R2_p,R2_ev
7,sem,11,100,1.0,25.0,0.8416507079127882,0.6534546948974229,0.7499000358552333
7,com,12,100,1.0,51.0,0.9504326252491,0.9502756231097634,0.9608493930627852
7,sem,12,100,1.0,51.0,0.9480918974732082,0.9454078807253248,0.9641714350687596
7,com,13,200,0.0,0.0,0.8938905850096363,0.9058363412488624,0.9460667621590866
7,sem,13,200,0.0,0.0,0.908895890923978,0.9085476538125388,0.9616728365032428
7,com,14,200,0.5,25.0,0.8843841267964593,0.776803019140458,0.9312965833876428
7,sem,14,200,0.5,25.0,0.3964210612165934,0.2526773997119136,0.9444309582556007
7,com,15,200,0.5,51.0,0.9701940810884976,0.9400159391851828,0.973774362770414
7,sem,15,200,0.5,51.0,0.9038439301974776,0.8175176072066435,0.9692518593982942
7,com,16,200,1.0,12.5,0.967838311846472,0.9747089725585352,0.9933780904410318
7,sem,16,200,1.0,12.5,0.9658089269570392,0.9440004618256728,0.991939189310638
7,com,17,200,1.0,25.0,0.9451036129817452,0.9582210772062624,0.927071120337025
7,sem,17,200,1.0,25.0,0.9153365300744968,0.8095635675599359,0.8935439522439942
7,com,18,200,1.0,51.0,0.977015874388308,0.9771453434810874,0.9036433373089524
7,sem,18,200,1.0,51.0,0.9882622327625276,0.9729537550244374,0.9016874744272736
7,com,19,300,0.0,0.0,0.92010123088476,0.9088365949141785,0.8355059353160996
7,sem,19,300,0.0,0.0,0.8377982881643755,0.8004680679988679,0.8433106113509834
7,com,20,300,0.5,25.0,0.8986617710144358,0.8430480088493344,0.8804774495918121
7,sem,20,300,0.5,25.0,0.8357891166129165,0.8660469107366071,0.7107628552906178
7,com,21,300,0.5,51.0,0.880686559369912,0.8769092143141936,0.9538033554166856
7,sem,21,300,0.5,51.0,0.8642293369696274,0.8298478350083905,0.9644716566855572
7,com,22,300,1.0,12.5,0.9722450796454092,0.9494373646133314,0.9424801239511728
7,sem,22,300,1.0,12.5,0.9593878002863244,0.9523687962705872,0.947060096171263
7,com,23,300,1.0,25.0,0.9634012930856172,0.960044014424197,0.9527836258145626
7,sem,23,300,1.0,25.0,0.9434147130857004,0.9136173731184906,0.9769196631237828
7,com,24,300,1.0,51.0,0.9710949621131432,0.9675282535699816,0.9023906503566924
7,sem,24,300,1.0,51.0,0.9729668562319732,0.958976773993586,0.887401421438033
123,com,1,50,0.0,0.0,-0.6707329719017883,-2.603263012925687,0.8897541175482714
123,sem,1,50,0.0,0.0,0.5613721504682949,-1.1468283273727469,0.8304132741443521
123,com,2,50,0.5,25.0,-0.7631409665142497,-2.6099065759374334,0.9589117962739896
123,sem,2,50,0.5,25.0,-2.56773469691771,-1.5432560172517378,0.9651462559251188
123,com,3,50,0.5,51.0,0.7297772594160148,0.7255122252483006,0.9881759944686448
123,sem,3,50,0.5,51.0,0.588138610623963,-0.5331925816130223,0.9659891444564416
123,com,4,50,1.0,12.5,0.3075344453402173,0.4864237196068138,0.9142134287748404
123,sem,4,50,1.0,12.5,0.0216461226636206,0.1777860931830744,0.8982843079980081
123,com,5,50,1.0,25.0,0.6439738413925185,0.7339983222072306,0.9267842045977188
123,sem,5,50,1.0,25.0,0.5837241157505918,0.7095472410287316,0.911586619230536
123,com,6,50,1.0,51.0,0.9484369342105454,0.6510339065623623,0.967283562753634
123,sem,6,50,1.0,51.0,0.8687851474898278,0.7524465827202026,0.970793327502211
123,com,7,100,0.0,0.0,0.8467494901619401,0.7689562039555905,0.9585618020129528
123,sem,7,100,0.0,0.0,0.6651077578545828,0.5545674239148222,0.8906775461380683
123,com,8,100,0.5,25.0,0.85150724207617,0.8708579805842016,0.4336710476022889
123,sem,8,100,0.5,25.0,0.8932715562375002,0.8555651189206122,0.4443178521159442
123,com,9,100,0.5,51.0,0.7427515676684875,0.6787757840289721,0.8752106781022853
123,sem,9,100,0.5,51.0,0.836164941632686,0.5858232181159795,0.9004400584679424
123,com,10,100,1.0,12.5,0.948928521307966,0.8450727597197921,0.6756633897150688
123,sem,10,100,1.0,12.5,0.6453433862161704,0.2973994336029562,0.6792872910575245
123,com,11,100,1.0,25.0,0.8991687590835673,0.887457160190817,0.8471815794129043
123,sem,11,100,1.0,25.0,0.7695776853030973,0.6717087831577333,0.7937655637168595
123,com,12,100,1.0,51.0,0.964196130808671,0.9626284201516592,0.9657448590998068
123,sem,12,100,1.0,51.0,0.9555494266787198,0.9457636534679984,0.9705610468298476
123,com,13,200,0.0,0.0,0.9185880637847876,0.9051844421459896,0.9345622582726608
123,sem,13,200,0.0,0.0,0.9130148491243592,0.8552206055305528,0.9507499239154442
123,com,14,200,0.5,25.0,0.9056273508419748,0.8765568339432612,0.9247781197916972
123,sem,14,200,0.5,25.0,0.654359595305787,0.5201904753906098,0.875971225110116
123,com,15,200,0.5,51.0,0.964975235448557,0.961894531120968,0.961359063081376
123,sem,15,200,0.5,51.0,0.9128392595226874,0.8392406917105036,0.9767494366549055
123,com,16,200,1.0,12.5,0.9736729191395804,0.9623983179900456,0.9840122492797864
123,sem,16,200,1.0,12.5,0.9104169529447256,0.9414465216359404,0.9903847377776558
123,com,17,200,1.0,25.0,0.9413018692211372,0.9484339028425994,0.9285178567078114
123,sem,17,200,1.0,25.0,0.9403957487671296,0.9340176091164744,0.9035549112669534
123,com,18,200,1.0,51.0,0.9770028979518024,0.9754178410653837,0.8994571011679847
123,sem,18,200,1.0,51.0,0.9939102610923866,0.9902565008700016,0.9089338540917892
123,com,19,300,0.0,0.0,0.8868990418572504,0.821928907994419,0.8324814804257047
123,sem,19,300,0.0,0.0,0.6927985740378693,0.7100124404894862,0.8128042246326271
123,com,20,300,0.5,25.0,0.9067018196784682,0.858142308860994,0.8827029875233948
123,sem,20,300,0.5,25.0,0.9224365791113212,0.9108566687487047,0.6509729864116984
123,com,21,300,0.5,51.0,0.8828569551663477,0.7753861931877757,0.9267026755785026
123,sem,21,300,0.5,51.0,0.8829099947956658,0.8909779852622667,0.9653368195613168
123,com,22,300,1.0,12.5,0.9723824606330644,0.9700152746049074,0.9453208120701192
123,sem,22,300,1.0,12.5,0.9683532313411076,0.9638899160751198,0.9477201089731244
123,com,23,300,1.0,25.0,0.9638238274040208,0.9569570664104154,0.964492379215846
123,sem,23,300,1.0,25.0,0.9602027566554456,0.9557791014004702,0.9599485567528095
123,com,24,300,1.0,51.0,0.9685559408748948,0.9732852969082132,0.8961000086801547
123,sem,24,300,1.0,51.0,0.97274374790956,0.9674890671182031,0.8911009570047425
